title,company_name,need_level,need_grade,region,employ_type,rank,pay,section
㈜메디아크,백엔드 개발자 채용,경력5년↑,학력무관,마포구,정규직,팀장/매니저/실장,"5,000~8,000만원",DE
㈜온고테크,"IT인프라(클라우드) PM, PL, 컨설팅 경력 채용",경력3년↑,초대졸↑,성동구,정규직,과장~차장급,,DE
㈜새롬정보시스템,"생성형AI 모델 서빙 개발(Python, PyTorch) 및 텍스트마이닝 경력사원 채용 공고",경력2년↑,초대졸↑,금천구,정규직,,,DE
㈜위키드스톰,연구소 AI팀 개발 팀장급 채용,경력10년↑,대졸↑,강서구,정규직,과장~차장급,,DE
피플앤드테크놀러지,"[피플앤드테크놀러지] 시스템엔지니어(SE,SI) 모집",신입·경력2년↑,학력무관,강남구,정규직,팀원,,DE
㈜퍼블릭에이아이,[ 퍼블릭에이아이 ] MLops 플랫폼 엔지니어,신입·경력3년↑,학력무관,서초구,정규직,사원급,,DE
㈜코세틱,[cosetic] 데이터 엔지니어 채용,경력무관,초대졸↑,중구,정규직,,,DE
㈜아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),신입·경력1년↑,대졸↑,송파구,정규직,,,DE
㈜부동산플래닛,[데이터분석가] Data Analyst 채용,신입·경력,석사↑,강남구,정규직,,,DE
디딤365㈜,클라우드 SA 신입 및 경력사원 영입,신입·경력3년↑,초대졸↑,구로구,정규직,,,DE
메타빌드㈜,메타빌드(주) AI 개발자 인재 채용,경력무관,대졸↑,서초구,정규직,,,DE
넛지헬스케어㈜,[캐시워크] 데이터분석 담당 채용전환형 인턴,신입,대졸↑,강남구,인턴,사원급,,DE
대상정보기술㈜,[대상정보기술] 각 부문별 신입ㆍ경력 채용,신입·경력,학력무관,광진구,정규직,,,DE
㈜위즈코리아,24년도 하반기 직무별 신입/경력 정기채용,신입·경력3년↑,초대졸↑,강서구,정규직,,,DE
㈜시스원,2025년 (주)시스원 신입 및 경력사원 공채,신입·경력,초대졸↑,강서구,정규직,,,DE
현대엘리베이터,우수 인재 상시 채용 (안전),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (경영지원),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (경영관리),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (기술지원),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (영업),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (DT),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (제조),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (설계),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용 (R&D),신입·경력,,종로구,,,,DE
현대엘리베이터,우수 인재 상시 채용,신입·경력,,종로구,,,,DE
에이케이아이에스㈜,[애경그룹] AK아이에스 Cloud 사업 경력 모집,경력4년↑,학력무관,마포구,정규직,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 안전보건관리,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 인사,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 법무,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - IR,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 재무/회계,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - SCM,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 물류인프라,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - MD,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 디자인,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 빅데이터,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 마케팅,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 보안,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 점포기기 개발운영,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 멤버십,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 앱개발,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 웹개발,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 인프라,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 기획,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - UX/UI,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록) - 온라인,경력,대졸↑,강남구,,,,DE
BGF리테일,경력사원 상시채용(인재DB 등록),경력,대졸↑,강남구,,,,DE
